borough,year,11201,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11213,11214,11215,11216,11217,11218,11219,11220,11221,11222,11223,11224,11225,11226,11228,11229,11230,11231,11232,11233,11234,11235,11236,11237,11238,11239,11241,11242,11243,11249,11252,11256,11240,10451,10452,10453,10454,10455,10456,10457,10458,10459,10460,10461,10462,10463,10464,10465,10466,10467,10468,10469,10470,10471,10472,10473,10474,10475,11691,11692,11693,11694,11697,11351,11354,11355,11356,11357,11358,11359,11360,11361,11362,11363,11364,11365,11366,11367,11368,11369,11370,11371,11372,11373,11374,11375,11377,11378,11379,11385,11411,11413,11414,11415,11416,11417,11418,11419,11420,11421,11422,11423,11426,11427,11428,11429,11430,11432,11433,11434,11435,11436,11101,11102,11103,11104,11106,11109,10001,10002,10003,10005,10006,10007,10009,10010,10012,10013,10014,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10055,10103,10104,10105,10106,10107,10110,10111,10112,10118,10119,10120,10121,10122,10123,10128,10151,10152,10153,10154,10155,10158,10162,10165,10166,10167,10168,10169,10170,10171,10172,10173,10174,10175,10176,10177,10178,10270,10271,10278,10279,10280,10281,10282,10048,10200,10301,10302,10303,10304,10305,10306,10307,10308,10309,10310,10311,10312,10314
BROOKLYN,2013,1678799.85,584021.75,821671.72,879978.93,948169.39,534436.79,402720.68,537947.39,618792.88,1469362.8,620918.51,705482.98,705946.36,1255101.21,819040.15,1560963.07,598675.54,966937.77,796293.33,547300.25,1434007.91,799998.16,1088672.75,1058526.98,1161209.26,754436.33,527805.28,711200.84,1635857.2,1571176.42,545084.33,542301.71,582876.41,417973.27,844089.4,947699.2,381928.75,nan,nan,nan,2148574.74,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN,2014,1828021.15,606770.5,887012.57,1167279.06,1814978.68,471677.17,535654.92,633163.16,657448.93,1951924.15,1205353.9,1086876.31,825950.32,1531807.93,1116288.01,1997574.75,756970.83,984007.4,1031259.36,897950.81,2231597.58,960788.21,611147.15,1225339.48,1289180.63,766436.11,787861.07,862509.13,1936741.28,1107319.1,928134.42,581074.22,846633.14,464567.94,1310948.69,1426861.62,390557.5,nan,nan,nan,3178217.53,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN,2015,2234039.87,700828.19,989004.69,1457911.96,2416731.58,683775.45,637680.14,756739.43,994418.51,2345426.08,1254905.77,1352086.07,921730.68,1742049.43,1321612.21,2421499.29,1077958.43,988470.42,1106686.55,951806.53,2255452.08,1069564.32,1361434.87,1818444.73,2118991.66,916480.99,684558.26,950415.44,2663110.23,2236690.71,949558.48,617812.02,680156.29,565390.79,2030523.19,1788818.11,296000.0,nan,nan,nan,3216956.18,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN,2016,3481809.16,675446.3,1163247.11,1810705.98,2375303.85,691526.48,599670.97,778364.66,833249.79,2817571.79,885418.2,1231278.94,897804.72,1683714.53,1621699.09,2184637.29,1081530.56,1213001.96,1073856.09,1192284.95,3106766.18,1122407.83,889497.76,1846780.82,1427794.79,990416.3,710191.38,1058533.03,1945365.45,1447340.3,1004392.5,679361.91,690681.53,659951.51,1602615.33,1539995.77,1724625.0,nan,nan,nan,2249071.31,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN,2017,3123793.86,709526.91,1183781.75,1236566.55,1765716.73,728209.74,640179.05,841549.1,899444.83,1780388.55,952450.08,1128598.47,926872.27,1709361.29,1447169.99,2124425.74,1113247.77,1236960.16,1349427.5,1218207.25,1527922.68,1192847.91,688156.73,1554533.76,1116052.72,1074253.73,706893.51,1109115.02,2442859.25,1868540.83,971426.97,612598.95,766955.69,647383.74,1780630.32,1295838.51,464696.06,171000000.0,nan,nan,2406693.5,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN,2018,2446816.2,748806.42,1113429.15,1481312.63,2069717.07,763377.41,718547.62,1292136.87,851624.19,1892479.35,797682.96,1299487.7,974037.73,2276637.43,1447329.98,2421524.15,1458551.54,1473036.33,1381949.2,1279262.56,2073761.19,1463699.77,1054587.58,1722619.31,1437580.34,1071016.01,836907.85,1059700.8,3872822.08,1477306.52,1068005.45,713969.6,734641.26,569096.4,1479929.24,1611525.45,100753235.0,nan,nan,nan,1807040.0,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN,2019,2702772.02,659825.68,1246875.67,2327028.18,2420714.69,740619.21,846255.91,824500.07,1281581.01,2090090.84,1853298.42,1241818.87,1105086.94,3654285.86,1833832.34,1926413.38,1193399.6,1358266.07,1443727.28,1674705.79,1941971.63,1347781.54,662364.93,1495300.24,1253269.6,1295881.65,793783.22,1106487.3,4281520.23,5050903.85,1126323.87,1101934.91,746667.74,2585413.0,2312751.05,2028156.43,554642.23,nan,nan,nan,3913469.07,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119520.82,1184700.09,637575.27,505340.76,561333.51,588633.89,771477.87,767353.79,535687.45,553193.57,671470.07,556909.77,390807.76,616567.78,498005.29,462430.95,766397.26,555924.02,597859.1,559641.55,446064.56,617507.26,511436.24,764162.22,530869.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658789.97,1260364.74,1092869.76,940354.42,958092.27,700871.89,785643.0,777434.92,635125.42,823305.08,610472.45,380370.24,541864.55,542992.48,517772.48,467544.53,639254.5,824660.89,531792.18,456441.68,489012.91,700887.82,426130.95,877457.95,490449.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826051.04,2056099.44,1422272.07,933772.1,976176.52,939304.09,1356937.51,1267196.71,635064.78,1038136.37,705497.77,485127.56,442218.25,758418.6,502543.97,658962.54,803096.78,1264420.4,868604.99,550425.83,618900.85,631096.65,991650.46,1859403.34,1059834.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
